check_catalog_param_id|check_catalog_id|check_param_id|check_param_usage_cd
71|55|2|OUT
76|55|258|REQ
89|1|265|OUT
90|2|264|REQ
93|2|277|OUT
97|61|264|REQ
98|61|3304|REQ
100|3|264|REQ
103|4|264|REQ
104|4|3304|REQ
106|5|264|REQ
109|6|264|REQ
111|7|264|REQ
115|9|264|REQ
116|9|276|OUT
118|8|264|REQ
119|8|275|OUT
122|5|3304|REQ
123|3|278|REQ
129|10|2343|OUT
137|66|283|REQ
138|66|282|REQ
148|12|340|REQ
155|13|290|REQ
156|14|290|REQ
164|16|290|REQ
165|16|294|OUT
166|17|290|REQ
167|17|295|OUT
168|18|290|REQ
169|18|296|OUT
170|19|290|REQ
171|19|297|OUT
172|20|290|REQ
173|20|298|OUT
174|13|291|OUT
176|11|290|REQ
179|11|299|OUT
347|23|290|REQ
348|23|322|REQ
362|25|326|REQ
369|26|290|REQ
370|26|328|REQ
373|27|333|REQ
376|27|334|OUT
411|34|290|REQ
412|34|345|REQ
420|59|349|REQ
423|59|347|OUT
424|60|290|REQ
426|60|348|REQ
439|72|290|REQ
440|72|340|REQ
444|37|290|REQ
445|37|319|REQ
450|38|290|REQ
455|73|365|REQ
459|40|290|REQ
464|52|290|REQ
465|52|340|REQ
469|41|290|REQ
470|41|340|REQ
473|41|370|OUT
474|67|290|REQ
485|50|374|OUT
491|64|290|REQ
496|53|290|REQ
516|44|290|REQ
525|65|3303|REQ
534|7|386|REQ
540|6|387|REQ
541|7|278|REQ
542|6|278|REQ
544|32|264|REQ
546|32|265|REQ
550|33|264|REQ
551|33|390|OUT
552|46|258|REQ
553|46|391|OUT
555|51|258|REQ
557|75|258|REQ
558|75|393|OUT
569|86|258|REQ
570|86|394|OUT
581|25|332|OUT
592|88|301|REQ
593|88|2915|OUT
595|10|265|REQ
597|33|275|REQ
598|33|276|REQ
599|12|265|REQ
610|89|402|OUT
611|89|290|REQ
612|11|402|REQ
613|11|403|OUT
614|11|404|OUT
615|11|405|OUT
616|11|406|OUT
617|91|258|REQ
619|92|258|REQ
620|91|395|OUT
621|92|396|OUT
622|90|258|REQ
623|90|393|REQ
624|90|394|REQ
625|90|395|REQ
626|90|396|REQ
627|90|409|OUT
628|55|409|REQ
629|55|410|OUT
630|55|411|OUT
631|55|412|OUT
632|55|413|OUT
633|93|326|REQ
634|93|415|REQ
