check_catalog_plugin_id|plugin_name|check_catalog_id|plugin_type_cd|check_param_id|field_name
33|FIELDNAME|32|CONST|0|BypassIndicator
34|KEY|32|VALUE|264|<RECORD IDENTIFIER>
38|STACK/PIPE ID|65|VALUE|699|<RECORD IDENTIFIER>
40|FIELDNAME|4|CONST|0|CrossAreaStackExit
41|KEY|4|VALUE|264|<RECORD IDENTIFIER>
42|VALUE|4|VALUE|264|CROSS_AREA_EXIT
43|MINVALUE|4|CONST|0|5
44|MAXVALUE|4|CONST|0|1700
45|FIELDNAME|3|CONST|0|CrossAreaFlow
46|KEY|3|VALUE|264|<RECORD IDENTIFIER>
47|VALUE|3|VALUE|264|CROSS_AREA_FLOW
48|MINVALUE|3|CONST|0|5
49|MAXVALUE|3|CONST|0|1700
52|FIELDNAME|61|CONST|0|GroundElevation
53|KEY|61|VALUE|264|<RECORD IDENTIFIER>
54|VALUE|61|VALUE|264|GRD_ELEVATION
55|MINVALUE|61|CONST||-100
56|MAXVALUE|61|CONST||15000
58|FIELDNAME|7|CONST|0|MaterialCode
59|KEY|7|VALUE|264|<RECORD IDENTIFIER>
60|VALUE|7|VALUE|264|MATERIAL_CD
61|DATEFIELD2|33|CONST|0|EndDate
62|DATEFIELD1|33|CONST|0|BeginDate
63|KEY|33|VALUE|264|<RECORD IDENTIFIER>
67|DATE|8|VALUE|264|BEGIN_DATE
68|FIELDNAME|8|CONST|0|BeginDate
69|FIELDNAME|6|CONST|0|ShapeCode
70|KEY|6|VALUE|264|<RECORD IDENTIFIER>
71|VALUE|6|VALUE|264|SHAPE_CD
72|FIELDNAME|5|CONST|0|StackHeight
73|KEY|5|VALUE|264|<RECORD IDENTIFIER>
74|VALUE|5|VALUE|264|STACK_HEIGHT
78|MINVALUE|5|CONST||20
79|MAXVALUE|5|CONST||1600
80|STACK PIPE ID|62|VALUE|699|STACK_NAME
83|PROGRAM|50|VALUE|307|PRG_CD
122|FIELDNAME|16|CONST|0|MonitoringMethodCode
123|KEY|16|VALUE|290|<RECORD IDENTIFIER>
124|VALUE|16|VALUE|290|METHOD_CD
125|FIELDNAME|13|CONST|0|ParameterCode
126|KEY|13|VALUE|290|<RECORD IDENTIFIER>
127|VALUE|13|VALUE|290|PARAMETER_CD
140|FIELDNAME|14|CONST|0|SubstituteDataCode
141|KEY|14|VALUE|290|<RECORD IDENTIFIER>
142|VALUE|14|VALUE|290|SUB_DATA_CD
146|PARAMETER|72|VALUE|290|PARAMETER_CD
151|KEY|12|VALUE|699|<RECORD IDENTIFIER>
152|VALUE|45|VALUE|258|SYSTEM_IDENTIFIER
153|FIELDNAME|45|CONST||MonitoringSystemID
154|KEY|45|VALUE|258|<RECORD IDENTIFIER>
155|KEY|8|VALUE|264|<RECORD IDENTIFIER>
177|KEY|94|VALUE|326|<RECORD IDENTIFIER>
211|KEY|102|VALUE|258|<RECORD IDENTIFIER>
222|FIELDNAME|46|CONST||SystemDesignationCode
223|KEY|46|VALUE|258|<RECORD IDENTIFIER>
224|VALUE|46|VALUE|258|SYS_DESIGNATION_CD
235|FIELDNAME|51|CONST||SystemTypeCode
236|KEY|51|VALUE|258|<RECORD IDENTIFIER>
237|VALUE|51|VALUE|258|SYS_TYPE_CD
243|SYSTEM TYPE CODE|103|VALUE|258|SYS_TYPE_CD
248|KEY|107|VALUE|258|<RECORD IDENTIFIER>
249|SYSTEM TYPE|108|VALUE|258|SYS_TYPE_CD
257|FUEL CODE|112|VALUE|258|FUEL_CD
259|SYSTEM TYPE|113|VALUE|258|SYS_TYPE_CD
264|FIELDNAME|116|CONST|0|BypassApproachCode
265|KEY|116|VALUE|290|<RECORD IDENTIFIER>
266|VALUE|116|VALUE|290|BYPASS_APPROACH_CD
267|SYSTEM TYPE|114|VALUE|258|SYS_TYPE_CD
268|SYSTEM TYPE|118|VALUE|258|SYS_TYPE_CD
271|SYSTEM TYPE|119|VALUE|258|SYS_TYPE_CD
309|FIELDNAME|128|CONST|0|ComponentID
310|KEY|128|VALUE|492|<RECORD IDENTIFIER>
311|ID|128|VALUE|492|COMPONENT_IDENTIFIER
320|FIELDNAME|133|CONST|0|Manufacturer
321|KEY|133|VALUE|492|<RECORD IDENTIFIER>
325|FIELDNAME|134|CONST|0|ComponentTypeCode
326|KEY|134|VALUE|492|<RECORD IDENTIFIER>
327|VALUE|134|VALUE|492|COMPONENT_TYPE_CD
331|VALUE|135|VALUE|492|ACQ_CD
332|FIELDNAME|135|CONST|0|SampleAcquisitionMethodCode
333|KEY|135|VALUE|492|<RECORD IDENTIFIER>
334|VALUE|136|VALUE|492|BASIS_CD
335|FIELDNAME|136|CONST|0|BasisCode
336|KEY|136|VALUE|492|<RECORD IDENTIFIER>
