response_catalog_id|response_catalog_description|response_type_cd|response_catalog_header|severity_cd
10000|The fuel type for [key] is not appropriate for this type of unit.|CHECK||
20097|Stack/Pipe ID [Stack Pipe ID] has already been assigned to another stack/pipe.|CHECK||
41451|You did not report an active heat input method for one or more locations in the file.  The file will not be evaluated.|CHECK||
20240|You have indicated that this unit/stack is a non-load-based unit/stack, but you have reported maximum hourly load information.  Non-load-based units and stacks should not report maximum hourly load.|CHECK||
20290|You have reported [key], but you have not reported [incomplete default parameter] default records that are active for the entire evaluation period.|CHECK||
20404|The separation of the low and mid operating levels for this test does not represent at least 25% of the operating range of the unit or stack.|CHECK||
20517|You reported an MODCCode of 02 in the MHV record for [param], but MonitoringSystemID [ID] is not a backup system.|CHECK||
20638|You did not report an MECValue for [key].  This value is required in a non-flow low-scale span record.|CHECK||
40113|You have reported that common stack or pipe [key] is linked to both a non-load-based unit and a load-based unit.  This is invalid.|CHECK||
40213|You reported an MODCCode of [modcCode] in the DHV record for [param], but the AdjustedHourlyValue does not equal the maximum potential value reported in the span or default record in your monitoring plan.|CHECK||
40360|The recalculated baseline GHR does not equal the reported GHR.|CHECK||
40483|You did not report the date on which the last RATA expires or the new expiration date in the RATA Extension or Exemption Claim. This claim is invalid for code [code].|CHECK||
40485|You reported expiration dates related to the last RATA in the RATA Extension or Exemption Claim. This is inconsistent in a claim for code [code].|CHECK||
40492|Based on the HoursUsed, this system does not qualify for this test extension exemption.|CHECK||
40493|You reported Year-to-date hours of Regular Non-redundant Backup Usage for code [code] which is not appropriate.|CHECK||
40503|The ComponentTypeCode of the component reported for [key] is not appropriate.  A RANGENU extension exemption only applies to dual-range continuous emission monitors.|CHECK||
41669|You did not report a GroupID for [key].  If this location does not belong to an identical group of units, you do not need to report the default Hg concentration in a default record.|CHECK||
41680|There are duplicate, missing or non-sequential run numbers for [key] when the run records are time ordered by run end date and time.|CHECK||
41453|You reported a default record indicating the use of a unit-and-fuel specific NOXR default value during a controlled or uncontrolled hour, but you have not reported an active NOx control in your monitoring plan.|CHECK||
41605|The default value reported for [key] exceeds the maximum allowable precision.|CHECK||
41770|You reported a QA Certification Event record for QACertEventCode [code] QACertEventDate [eventdate] for [key], but you did not perform a subsequent [testtype].|CHECK||
40530|You reported a test Begin Date, Hour, and Minute that is not the same as the Injection Date, Hour, and Minute of the first injection in the 7-day calibration test.|CHECK||
40532|You reported a Test End Date, Hour, and Minute that is not the same as the Injection Date, Hour, and Minute of the last injection in the 7 day calibration test.|CHECK||
40534|You reported a failed RATA.  Please check to see that the test was repeated and passed. |CHECK||
40537|The BeginDate, BeginHour, and/or BeginMinute for [key] is invalid.|CHECK||
40538|You reported a test Begin Date, Hour, and Minute that is not the same as the BeginDate, BeginHour, and BeginMinute of the first run in the RATA.|CHECK||
40540|You reported a test EndDate, Hour, and Minute that is not the same as the EndDate, Hour, and Minute of the last run in the RATA test.|CHECK||
40542|You reported a test Begin Date, Hour, and Minute that is not the same as the Begin Date, Hour, and Minute of the first injection in the cycle time test.|CHECK||
40544|You reported a test End Date, Hour, and Minute that is not the same as the End Date, Hour, and Minute of the last injection in the cycle time test.|CHECK||
40547|You reported a test BeginDate, BeginHour, and BeginMinute that is not the same as the BeginDate, BeginHour, and  BeginMinute of the first run in the Appendix E test.|CHECK||
40549|You reported an EndDate, EndHour, and EndMinute for the Appendix E test that is not the same as the EndDate, EndHour, and EndMinute of the last run in the test.|CHECK||
40551|You reported a test Begin Date, Hour, and Minute that is not the same as the BeginDate, Hour, and Minute of the first run in the test.|CHECK||
40552|The Run Date in at least one NOx Unit Default Test run record is not in the valid range of dates.  The date must be no earlier than 01/01/1993.|CHECK||
40553|You reported a test EndDate, Hour, and Minute that is not the same as the  EndDate, Hour, and Minute of the last run in the test.|CHECK||
41682|The reported AverageGrossUnitLoad is inconsistent with the recalculated average of the GrossUnitLoad reported in the run records of the test.|CHECK||
40559|You have reported a Heat Input methodology indicating that heat input for [location] is apportioned from heat input measured at a common stack or pipe, but the unit is a non-load-based unit.  You cannot apportion heat input for a non-load-based unit.|CHECK||
40560|You reported a test BeginDate and BeginHour that is not the same as the date and hour of the first injection in the test.|CHECK||
40562|You reported a test EndDate and EndHour that is not the same as the date and hour of the last injection in the test.|CHECK||
40564|The [type] injection Date and/or Hour is invalid.|CHECK||
41774|The prior [testtype] for [key] with TestNumber [testnum] has expired.  A prior fuel-flow-to-load test for MonitoringSystemID [ID] was ignored.|CHECK||
